sample	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim	input_tax_filter	filtered_tax_filter	lost	retained_percent	lost_percent
Villapol_35d_255	52137	30275	29414	29324	24443	20565	20565	20565	0	100	0
Villapol_35d_256	79774	44265	42626	43036	33753	29186	29186	29186	0	100	0
Villapol_35d_257	70249	37900	36555	36664	28070	23520	23520	23520	0	100	0
Villapol_35d_258	43531	24604	23849	23908	20238	17477	17477	17477	0	100	0
Villapol_35d_259	50486	28621	27860	27771	23440	19443	19443	19443	0	100	0
Villapol_35d_261	50385	27069	26166	26217	21266	18101	18101	18101	0	100	0
Villapol_35d_262	47635	26858	26309	26173	23242	18264	18264	18264	0	100	0
Villapol_35d_263	63851	36143	35265	34928	29258	23280	23280	23280	0	100	0
Villapol_35d_264	69949	38591	36883	37519	29459	24118	24118	24118	0	100	0
Villapol_35d_265	53969	29868	28926	28888	23006	19591	19591	19591	0	100	0
Villapol_35d_266	61256	33479	32266	32588	26934	22856	22856	22856	0	100	0
Villapol_35d_267	63952	36959	36030	36101	31521	25518	25518	25518	0	100	0
Villapol_35d_268	25505	14205	13612	13540	10713	9319	9319	9319	0	100	0
Villapol_35d_269	48252	27795	27288	27038	23709	19251	19251	19251	0	100	0
Villapol_35d_270	58942	33033	31994	32141	26205	22413	22413	22413	0	100	0
Villapol_35d_271	55596	32075	31311	31244	26805	21557	21557	21557	0	100	0
Villapol_35d_272	45906	25362	24567	24556	19855	16509	16509	16509	0	100	0
Villapol_35d_273	44823	24488	23808	23595	19317	15839	15839	15839	0	100	0
Villapol_35d_274	72836	41655	40103	40498	32357	24837	24837	24837	0	100	0
Villapol_35d_275	59716	33014	31827	31882	25891	20261	20261	20261	0	100	0
Villapol_35d_276	59459	32478	30952	31189	22799	18570	18570	18570	0	100	0
Villapol_35d_277	60756	34110	32575	32836	24933	20641	20641	20641	0	100	0
Villapol_35d_278	67500	36059	34319	34861	25736	20123	20123	20123	0	100	0
Villapol_35d_279	55021	31709	30863	30833	25738	21477	21477	21477	0	100	0
Villapol_35d_280	64720	36458	35291	35417	28502	24629	24629	24629	0	100	0
Villapol_35d_281	68779	38781	37122	37519	27716	23330	23330	23330	0	100	0
Villapol_35d_282	51897	28786	27729	27780	21239	17729	17729	17729	0	100	0
Villapol_35d_283	34294	17597	16717	16809	12840	11221	11221	11221	0	100	0
Villapol_35d_284	53090	30898	30088	30015	26071	21940	21940	21940	0	100	0
Villapol_35d_285	44963	24287	23532	23516	20048	16434	16434	16434	0	100	0
Villapol_35d_286	68734	38575	37618	37581	33108	27586	27586	27586	0	100	0
Villapol_35d_287	66815	39181	38196	37955	32565	28237	28237	28237	0	100	0
Villapol_35d_288	64460	35520	33854	34264	26156	21474	21474	21474	0	100	0
Villapol_35d_289	66542	38856	37785	37861	31692	27182	27182	27182	0	100	0
Villapol_35d_290	32965	18909	18148	18029	14294	12199	12199	12199	0	100	0
Villapol_35d_291	61967	33439	32495	32299	26482	21680	21680	21680	0	100	0
Villapol_35d_292	65190	35373	33863	33938	24988	21251	21251	21251	0	100	0
Villapol_35d_293	63725	36194	35275	35109	29708	23526	23526	23526	0	100	0
