sampleID	MouseID	Genotype	Sex	Injury	Treatment	Timepoint	Project
Villapol_35d_271	271	WT	F	CCI	Vehicle	35d	PAN
Villapol_35d_272	272	WT	F	CCI	Vehicle	35d	PAN
Villapol_35d_273	273	WT	F	CCI	Vehicle	35d	PAN
Villapol_35d_274	274	WT	M	Sham	PAN	35d	PAN
Villapol_35d_275	275	WT	M	Sham	PAN	35d	PAN
Villapol_35d_276	276	WT	M	Sham	PAN	35d	PAN
Villapol_35d_277	277	WT	M	Sham	PAN	35d	PAN
Villapol_35d_278	278	WT	M	Sham	PAN	35d	PAN
Villapol_35d_279	279	WT	F	Sham	PAN	35d	PAN
Villapol_35d_280	280	WT	F	Sham	PAN	35d	PAN
Villapol_35d_281	281	WT	F	Sham	PAN	35d	PAN
Villapol_35d_282	282	WT	F	Sham	PAN	35d	PAN
Villapol_35d_283	283	WT	F	Sham	PAN	35d	PAN
Villapol_35d_284	284	WT	M	Sham	Vehicle	35d	PAN
Villapol_35d_285	285	WT	M	Sham	Vehicle	35d	PAN
Villapol_35d_286	286	WT	M	Sham	Vehicle	35d	PAN
Villapol_35d_287	287	WT	M	Sham	Vehicle	35d	PAN
Villapol_35d_288	288	WT	M	Sham	Vehicle	35d	PAN
Villapol_35d_289	289	WT	F	Sham	Vehicle	35d	PAN
Villapol_35d_290	290	WT	F	Sham	Vehicle	35d	PAN
Villapol_35d_291	291	WT	F	Sham	Vehicle	35d	PAN
Villapol_35d_292	292	WT	F	Sham	Vehicle	35d	PAN
Villapol_35d_293	293	WT	F	Sham	Vehicle	35d	PAN
