	W	Reject null hypothesis
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum	97	True
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;HT002	95	True
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;	93	True
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Coriobacteriaceae UCG-002	87	True
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Ileibacterium	83	True
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	81	True
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	65	False
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	64	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;	53	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Dubosiella	43	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus	19	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	18	False
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;;	12	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus	11	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;	11	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Paludicola	11	False
Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae;Anaerofustis	11	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Candidatus Soleaferrea	10	False
;;;;;	10	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;;	10	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Parvibacter	10	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum	10	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;	10	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Asaccharobacter	10	False
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;	10	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Candidatus Stoquefichus	10	False
Bacteria;Bacteroidota;Bacteroidia;;;	10	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea	10	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;	10	False
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	10	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;	10	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	10	False
