Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	35d	35d	35d	35d	35d	Baseline	Baseline	Baseline	Baseline	Baseline
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;	731.0	2106.0	2820.5	3682.0	7786.0	694.0	1443.0	1846.0	2178.0	3225.0
Bacteria;Firmicutes;Bacilli;RF39;;	1.0	11.0	33.5	53.0	212.0	1.0	12.5	22.0	44.5	130.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	1.0	1.0	1.0	9.0	31.0	1.0	1.0	1.0	45.0	113.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	1.0	1.0	3.5	23.25	133.0	1.0	1.0	1.0	19.5	291.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Dubosiella	4.0	59.75	522.5	802.75	4120.0	1.0	597.0	1715.0	3132.5	7884.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	23.0	57.25	89.0	131.25	322.0	17.0	52.0	76.0	114.0	229.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	104.0	630.75	983.0	1656.0	3205.0	73.0	502.5	955.0	1323.0	3216.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	42.0	1130.75	1827.0	3378.5	9592.0	39.0	2182.5	3297.0	4666.5	11354.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	129.0	338.25	514.5	699.0	2033.0	90.0	343.5	472.0	667.5	1241.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus	27.0	65.25	84.5	105.75	157.0	18.0	52.0	82.0	108.0	176.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor	7.0	29.25	43.0	73.25	255.0	2.0	25.5	39.0	66.5	158.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;	59.0	137.5	206.0	319.0	948.0	49.0	155.0	220.0	322.0	895.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;	133.0	309.5	508.5	823.25	2330.0	72.0	300.5	477.0	853.5	2301.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium	8.0	48.0	87.0	143.75	315.0	1.0	64.5	110.0	238.5	826.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;	11.0	32.25	53.0	78.0	179.0	8.0	35.0	59.0	82.0	290.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group	351.0	720.0	1280.5	1837.0	3328.0	268.0	815.0	1218.0	1912.0	3999.0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group	1.0	5.0	9.5	12.0	24.0	1.0	7.0	9.0	14.5	28.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter	8.0	31.25	54.0	70.75	172.0	8.0	39.0	55.0	74.5	227.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum	1256.0	3698.5	5334.0	6856.25	11729.0	1.0	1.0	3074.0	5575.5	10010.0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;	10.0	62.5	146.5	287.5	925.0	16.0	79.5	168.0	296.5	760.0
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;	1.0	4.0	7.0	9.75	23.0	1.0	1.0	7.0	10.0	23.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001	1.0	5.0	40.5	230.5	3086.0	1.0	22.5	62.0	220.5	1084.0
