id	clr	W
;;;;;	-0.028620254971953862	10
Bacteria;;;;;	0.17497096289195585	5
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0.24921654582867792	6
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Coriobacteriaceae UCG-002	-1.463432987459391	87
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;	-0.0010206023682579612	10
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;	-0.18644573968087474	10
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Asaccharobacter	0.01263990916537594	10
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus	-0.09055770083713544	11
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Parvibacter	-0.037106549394374966	10
Bacteria;Bacteroidota;Bacteroidia;;;	-0.021629477245950213	10
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;	-0.2647340612095863	10
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	-0.06451933452548753	9
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;	-0.4779656913814678	53
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum	-0.3252424850505147	10
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	-0.09135315540902322	10
Bacteria;Firmicutes;;;;	-0.17881992998213692	8
Bacteria;Firmicutes;Bacilli;;;	0.024673851035548644	9
Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Anaeroplasma	-0.18433322516059802	3
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	0.10638326270054854	10
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;;	-0.022034589566558793	9
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;	-0.32098339866467906	9
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Candidatus Stoquefichus	-0.02829921105358224	10
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium	0.2593874427770622	5
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;	-0.28610817857934345	5
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Dubosiella	1.2125357910068977	43
