task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	5b/cbbe39	274670	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_234_B)	COMPLETED	0	2024-01-29 10:14:38.891	374ms	27ms	48.0%	2.6 MB	3.9 MB	12.6 MB	12.5 MB
1	8e/cb560d	274500	NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE (PAN_Metadata.tsv)	COMPLETED	0	2024-01-29 10:14:38.489	876ms	1s	211.7%	3.4 MB	47.4 MB	6 MB	1.2 KB
4	f5/a8b9b0	274948	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_234_B)	COMPLETED	0	2024-01-29 10:14:39.369	4.9s	5s	193.0%	394.7 MB	6.1 GB	25.2 MB	5.8 MB
7	8c/489405	275684	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_237_B)	COMPLETED	0	2024-01-29 10:14:44.292	297ms	37ms	58.1%	2.6 MB	3.9 MB	12.9 MB	12.7 MB
6	69/277d87	275674	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_236_B)	COMPLETED	0	2024-01-29 10:14:44.288	305ms	36ms	77.4%	2.6 MB	3.9 MB	14.1 MB	13.9 MB
8	31/fba8c7	275704	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_238_B)	COMPLETED	0	2024-01-29 10:14:44.297	306ms	34ms	78.7%	2.8 MB	3.9 MB	15.3 MB	15.2 MB
10	1a/1ab203	276189	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_240_B)	COMPLETED	0	2024-01-29 10:14:44.598	393ms	31ms	58.1%	2.6 MB	3.9 MB	13.5 MB	13.4 MB
9	4a/41600e	276181	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_239_B)	COMPLETED	0	2024-01-29 10:14:44.593	431ms	37ms	76.2%	2.8 MB	3.9 MB	16.2 MB	16.1 MB
11	77/48d3d6	276211	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_241_B)	COMPLETED	0	2024-01-29 10:14:44.613	415ms	42ms	50.7%	2.5 MB	3.9 MB	14.4 MB	14.3 MB
12	62/81848a	276683	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_242_B)	COMPLETED	0	2024-01-29 10:14:44.995	325ms	32ms	65.5%	2.6 MB	3.9 MB	12.5 MB	12.4 MB
