"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_254",254,"WT","M","CCI","Vehicle","35d","PAN",1357
"2","Villapol_35d_255",255,"WT","M","CCI","Vehicle","35d","PAN",2489
"3","Villapol_35d_256",256,"WT","M","CCI","Vehicle","35d","PAN",1674
"4","Villapol_35d_257",257,"WT","M","CCI","Vehicle","35d","PAN",41
"5","Villapol_35d_258",258,"WT","M","CCI","Vehicle","35d","PAN",3390
"6","Villapol_35d_259",259,"WT","M","CCI","Vehicle","35d","PAN",1466
"7","Villapol_35d_261",261,"WT","M","CCI","Vehicle","35d","PAN",570
"8","Villapol_35d_262",262,"WT","M","CCI","Vehicle","35d","PAN",2147
"9","Villapol_35d_263",263,"WT","M","CCI","Vehicle","35d","PAN",1118
