"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_279",279,"WT","F","Sham","PAN","35d","PAN",4285
"2","Villapol_35d_280",280,"WT","F","Sham","PAN","35d","PAN",2308
"3","Villapol_35d_281",281,"WT","F","Sham","PAN","35d","PAN",1516
"4","Villapol_35d_282",282,"WT","F","Sham","PAN","35d","PAN",1790
"5","Villapol_35d_283",283,"WT","F","Sham","PAN","35d","PAN",896
