Villapol_239_B_2	0.0	0.0	0.0	0.25	1.0	1.25	1.25	0.5	1.5	1.25	0.5	0.75	1.0	0.5	0.0	0.5	0.75	0.5	0.0	0.5	0.5	0.5	0.5	0.25	0.5	0.25	0.5	1.0	1.0	1.25	0.75	1.0	1.5	3.25	3.5	0.5	1.25	3.5	4.25	4.75	5.0	8.0	8.5	11.5	14.25	13.25	13.25	13.0	50.25	267.0	645.5	480.75	545.25	434.5	1048.75	1430.75	1404.75	1143.0	1104.5	1348.75	2907.25	2856.75	829.25	388.25	213.25	118.0	62.25	30.0	11.5	4.25	1.75	1.5	0.25	0.5	0.5	0.5	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_240_B_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.25	0.25	1.75	2.0	4.0	5.5	16.25	23.25	45.25	133.75	1187.5	1176.0	396.75	373.0	585.25	1077.5	1201.25	984.0	1611.75	2802.25	749.75	427.25	329.25	213.25	147.75	569.0	356.0	86.75	52.0	25.5	32.5	34.5	21.25	6.0	2.5	0.5	0.5	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_240_B_2	0.0	0.0	0.0	0.0	0.0	0.25	0.5	1.0	0.0	0.25	0.25	0.25	0.75	0.5	0.75	0.25	0.5	0.5	1.5	1.5	0.5	0.25	0.25	0.25	0.0	0.75	0.75	0.75	0.75	0.5	1.25	1.25	1.5	1.5	2.0	1.5	1.5	2.25	3.25	5.25	5.75	7.75	7.5	8.0	6.75	12.0	10.0	13.5	56.75	364.0	1079.75	553.25	481.25	399.5	807.0	1145.25	1176.75	1080.25	893.75	1061.0	2271.75	2219.25	625.0	256.25	142.5	69.75	40.25	28.5	9.5	5.25	1.75	0.5	0.25	0.25	0.25	0.75	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_241_B_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.5	0.0	1.25	1.0	2.25	2.25	4.75	5.25	13.5	21.25	36.75	116.25	1301.25	1280.25	662.25	722.75	853.0	1266.0	1215.5	1010.5	1460.5	1890.0	619.0	453.25	376.75	246.25	203.75	824.25	526.75	121.25	48.5	28.75	26.25	40.5	26.5	9.25	3.5	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_241_B_2	0.0	0.0	0.0	0.0	0.25	0.0	0.5	0.25	0.5	0.25	0.75	0.25	0.25	0.25	0.5	0.25	0.5	0.25	1.25	0.25	0.25	0.75	0.5	0.5	0.75	0.25	0.5	0.0	0.25	1.5	1.25	0.5	2.0	3.5	2.0	0.75	1.0	5.0	3.5	4.5	6.25	6.25	6.25	10.25	10.0	12.25	12.5	16.0	67.5	429.25	1178.75	728.25	689.5	552.25	1107.75	1467.0	1395.5	1182.0	1042.75	1035.25	1696.0	1713.75	532.75	242.0	126.25	69.5	41.0	40.0	10.75	6.0	2.75	1.0	0.25	1.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_242_B_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	1.0	1.5	1.75	1.75	2.25	3.0	5.75	12.5	37.5	42.75	202.5	1120.75	970.5	472.75	524.75	511.0	779.5	841.5	872.0	1505.0	2537.0	620.75	440.0	401.0	260.25	157.0	516.75	347.25	93.75	53.25	23.75	12.75	16.75	12.0	5.75	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_242_B_2	0.0	0.0	0.0	0.0	0.25	0.25	0.5	1.0	0.25	0.25	0.25	0.5	0.5	0.75	0.75	1.0	0.25	0.25	0.25	0.0	0.5	0.5	0.0	0.25	0.25	0.25	0.0	0.5	1.0	1.5	2.0	1.75	1.75	1.75	2.0	1.0	1.75	4.25	5.25	4.5	6.0	6.0	8.0	8.0	8.0	13.0	7.25	10.25	54.75	330.5	915.75	623.0	540.25	418.25	793.75	960.0	957.25	838.75	813.5	978.0	2080.0	2040.5	572.25	245.5	141.0	67.25	34.0	22.25	9.75	5.25	1.75	1.0	0.25	0.25	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_243_B_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.5	0.5	0.25	1.25	2.0	3.75	4.25	8.25	10.25	27.0	41.25	112.75	260.25	1495.0	1331.25	741.25	729.0	852.5	1425.0	1582.75	1374.5	2198.75	3220.5	1033.25	610.25	485.0	297.0	206.75	760.5	484.25	117.75	52.5	25.0	39.75	50.5	37.5	10.25	2.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_243_B_2	0.0	0.0	0.0	0.25	1.25	1.0	1.0	0.75	0.5	0.0	0.0	0.25	1.25	0.5	1.0	0.25	0.25	0.5	0.0	0.25	0.5	1.25	0.75	0.5	0.5	0.75	0.25	0.5	1.25	1.25	1.75	1.5	2.25	2.5	1.0	1.25	2.5	5.25	8.75	8.5	10.25	11.5	14.75	13.5	15.0	18.0	12.75	16.75	76.75	421.5	1315.25	836.25	778.0	661.0	1278.25	1754.5	1763.0	1544.75	1449.0	1421.5	2497.75	2402.25	689.25	319.0	192.5	105.0	65.25	42.0	14.25	9.0	3.0	1.5	0.75	0.0	0.25	0.25	0.25	0.0	0.0	0.5	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_244_B_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.75	2.0	3.0	13.5	7.0	9.25	9.25	12.0	44.5	187.5	1498.75	1144.25	343.75	645.5	894.75	963.25	805.75	1634.75	2785.25	2979.5	995.5	470.25	371.0	260.5	228.0	930.25	606.5	163.0	138.0	87.25	39.5	33.25	19.0	6.5	1.75	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_244_B_2	0.0	0.0	0.0	0.0	0.25	0.5	0.5	1.0	1.0	0.0	0.5	0.0	1.0	1.75	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.5	1.5	0.25	1.0	0.75	0.75	0.5	1.0	1.75	1.0	1.25	2.75	2.75	2.5	1.5	1.75	4.5	7.75	7.0	9.25	9.0	9.25	9.0	9.5	15.25	10.25	15.0	73.25	439.75	1190.0	746.0	745.0	517.5	1002.0	1325.75	1241.75	1006.5	1079.0	1882.5	2742.25	2380.5	777.0	344.75	223.0	128.5	59.25	37.75	11.75	5.0	3.25	1.25	1.5	0.5	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_245_B_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.25	0.0	0.0	0.5	0.75	0.25	0.75	1.5	0.5	4.5	6.5	9.0	12.25	18.25	41.5	243.75	2419.25	1848.75	428.0	743.0	956.0	873.25	770.0	1387.0	2211.75	2168.75	820.25	436.0	336.75	264.5	204.75	793.0	552.0	147.5	88.5	34.0	26.75	22.5	31.5	10.75	2.25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_245_B_2	0.0	0.0	0.0	1.5	2.0	2.0	1.5	0.75	0.25	0.25	0.25	0.75	1.0	0.5	0.75	0.75	0.0	0.5	0.5	0.5	0.75	0.5	0.25	0.0	0.0	0.25	0.25	0.5	2.5	1.0	1.75	1.75	2.0	2.0	2.75	1.75	3.5	7.0	6.5	7.75	4.25	6.75	7.25	8.5	10.5	16.5	10.75	22.0	125.0	741.25	2057.25	1059.25	853.0	652.75	1046.0	1263.5	1157.25	886.0	987.25	1469.75	2025.25	1811.25	605.5	285.5	179.5	100.0	41.25	25.0	12.25	6.25	3.0	1.75	1.25	0.5	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_246_B_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.5	0.25	0.5	0.75	1.75	3.75	6.0	10.5	21.25	33.25	68.25	204.0	1483.5	1269.0	542.25	963.25	1299.5	1671.25	1439.5	1298.25	1852.5	1975.75	835.0	457.25	342.75	296.0	208.5	531.0	351.0	117.25	104.25	61.75	72.25	32.75	38.5	12.25	3.75	1.0	0.5	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_246_B_2	0.0	0.0	0.0	0.25	0.5	0.25	0.5	0.25	0.25	1.0	0.75	0.75	1.25	0.75	0.75	0.25	0.25	0.25	1.0	1.75	0.0	0.5	0.5	0.5	0.0	0.5	0.25	1.0	2.0	1.5	1.75	2.25	4.0	3.0	1.0	0.5	2.25	3.5	5.5	5.0	7.5	9.25	13.0	10.5	8.0	12.5	8.25	15.5	61.0	394.75	1335.75	890.5	871.75	726.0	1344.5	1930.5	1865.25	1502.25	1208.75	1199.25	1545.5	1359.25	524.25	265.25	188.75	90.25	34.75	20.75	8.25	3.25	1.25	1.0	0.25	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_247_B_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.25	0.0	1.0	2.5	2.0	1.25	2.75	4.5	5.25	25.25	39.0	35.5	90.5	1040.0	945.5	457.0	744.75	999.0	1145.5	1122.25	1970.5	3106.0	3062.0	1014.5	535.0	394.25	291.75	209.0	578.5	390.0	143.5	121.5	48.25	48.5	37.0	44.75	15.25	3.0	1.0	0.25	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_247_B_2	0.0	0.0	0.0	0.25	0.25	0.75	0.5	0.75	0.5	0.25	0.0	0.25	0.0	0.0	0.25	0.25	0.75	0.25	0.0	0.5	0.75	0.75	0.75	0.5	0.25	0.75	0.75	1.0	0.5	1.5	1.75	3.0	2.25	2.75	4.25	2.25	2.5	3.5	6.75	3.75	5.75	5.75	11.5	10.75	9.25	14.75	14.75	18.5	59.75	317.25	930.0	715.0	731.5	614.0	1120.75	1486.5	1537.75	1407.25	1492.75	2005.0	2580.75	1995.75	656.25	316.5	199.5	106.5	48.0	26.5	9.25	3.75	2.25	1.0	0.25	0.75	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_248_B_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.5	0.75	1.75	3.25	4.0	7.25	5.0	8.0	9.75	35.5	83.0	115.75	893.25	759.5	492.75	1029.25	1478.5	1562.75	1130.25	1498.5	2231.5	2139.0	1133.5	651.25	448.5	351.0	263.5	796.75	513.0	139.75	117.0	81.25	113.25	62.5	58.75	19.0	6.75	2.5	0.75	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_248_B_2	0.0	0.0	0.0	0.0	0.5	1.0	0.25	0.25	0.75	0.5	0.25	0.5	0.5	0.25	0.5	0.25	0.25	0.0	1.5	0.25	0.0	0.5	0.5	0.5	1.0	0.75	0.75	0.5	1.25	1.5	1.75	2.75	1.5	0.75	0.75	1.25	1.75	4.25	4.25	5.25	6.75	7.25	13.0	12.0	12.0	14.75	14.5	13.75	67.0	307.5	692.25	685.0	788.5	680.75	1360.75	1895.25	1931.25	1596.25	1618.0	1633.5	1764.25	1548.75	676.25	363.0	243.75	135.25	55.0	20.5	12.75	3.5	2.5	0.5	0.25	0.25	0.0	0.0	0.25	0.25	0.25	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Villapol_249_B_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.5	1.0	0.25	2.0	7.5	7.75	8.25	25.75	67.25	189.5	2767.5	2416.0	560.0	852.0	1003.75	860.0	737.0	1467.5	1992.75	855.25	571.0	507.75	498.0	322.0	217.75	706.0	475.0	116.0	51.5	33.5	26.75	31.0	17.25	6.25	2.5	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
