Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
Villapol_234_B_1	4.745042492917847	1.5727263846830124	0.8278792615023933	0.7326365146038879	0.549477385952916	0.6300674025593436	0.6325095242746899	0.56657223796034	0.41760281332421606	8.606036924880337	3.24802188141057	16.801797401582494	8.239718667578392	12.381557096805706	14.81635244700596	25.232001562957894
Villapol_234_B_2	8.750122106085767	1.5385366806681644	0.8864901826707042	0.8205528963563543	0.6227410374133047	0.38097098759402165	0.5128455602227214	0.4688873693464882	0.3956237178860994	6.344632216469669	3.880531405685259	16.745628602129532	8.483930839113022	14.982416723649505	35.186089674709386	0.0
Villapol_236_B_1	4.9605605347432675	1.7538203623702366	0.831775098330002	0.687772691125583	0.6125475530337223	0.6834741118060481	0.43630580093279175	0.44705224923162895	0.44490295957186154	8.296258086702345	4.6725557203344295	14.189610333784684	7.528961678165366	13.222429986889333	15.560857136716317	25.671115696262387
Villapol_236_B_2	7.920132396243042	1.5474885550325617	0.9800760848539558	0.7995357534334903	0.5695617598383734	0.5416209942613966	0.4212607733144196	0.4126636146753498	0.30949771100651235	6.228641434006061	4.504911126872568	9.977002600640489	14.509854493090032	12.43364068175468	15.343778881079803	23.500333139897265
Villapol_237_B_1	5.283767038413878	1.571251548946716	1.0855018587360594	0.9516728624535317	0.7434944237918215	0.4907063197026022	0.6245353159851301	0.49566294919454773	0.4684014869888476	8.706319702602231	4.292441140024783	16.18091697645601	4.364312267657993	34.185873605947954	20.555142503097894	0.0
Villapol_237_B_2	9.306071871127633	1.9429987608426271	1.174721189591078	0.8327137546468402	0.6071871127633209	0.550185873605948	0.5551425030978935	0.5551425030978935	0.5799256505576209	6.671623296158612	4.014869888475837	18.059479553903344	5.578686493184634	31.53159851301115	18.03965303593556	0.0
Villapol_238_B_1	5.158378334810994	1.902152010961554	0.9853308616103812	0.7898766825179334	0.7354719110179737	0.45941807044410415	0.6488272749254453	0.5480776980736681	0.362698476666398	8.408559684049328	3.584669944386234	16.680099943580238	5.7548158297735155	21.707503828483922	11.596276295639559	20.677843153058756
Villapol_238_B_2	8.819617957604578	1.7973724510357054	1.1425002014991537	0.6850971225920851	0.5944225034254856	0.5198678165551704	0.4936729265737084	0.45135810429596196	0.2538889336664786	5.339727573144193	4.559925848311437	16.07761747400661	6.889256065124528	22.406705891835255	29.968969130329654	0.0
Villapol_239_B_1	4.958709577834376	1.8059736050011579	1.076638110673767	0.7872192637184533	0.4437755653314811	0.48622366288492713	0.4592112371690978	0.4167631396156518	0.4341282704329706	7.955159373311724	4.860307169869568	14.420776414293432	7.683105657173729	26.23678320598904	0.0	27.975225746700627
Villapol_239_B_2	8.825345373157367	1.7789611792853284	1.0592729798564482	0.6482982171799028	0.6463687582002007	0.4283398934938643	0.49972987574284167	0.24697074940186772	0.32993748552905766	6.571737284865324	3.268503511615343	11.700239252913484	8.655552982943583	29.121324380643664	0.0	26.219418075171724
Villapol_240_B_1	4.957465532414198	1.7645598754428324	1.0086422817428977	0.6769411286865086	0.8010470022790351	0.5686305480966671	0.45806349707787075	0.5957081932441276	0.4264729110725004	8.371505291423157	3.7615362050680328	15.779497709682513	10.632488661236096	14.389511925446216	11.580206241397207	24.22772299569014
Villapol_240_B_2	8.281246474264954	1.642710472279261	0.9477175801611121	0.79427759099217	0.5302705508044318	0.5009364352280163	0.39488232506713006	0.4512940857910057	0.2233905724665478	6.771667757294041	2.8318703883385608	13.249994358823928	11.207888620619627	28.515016810704697	0.0	23.65683597716452
Villapol_241_B_1	5.760044956448441	1.9236172650052956	1.082845224458037	0.8731925562495947	0.8105128925584109	0.5835692826420559	0.5446646637992522	0.3631097758661681	0.5446646637992522	8.494175114012146	4.934402489895606	16.482590183067845	7.843603432251929	24.101411373116907	25.65759612682906	0.0
Villapol_241_B_2	9.090712602935138	1.8674217044545787	1.1087816370199062	0.9769382064970713	0.5835692826420559	0.5835692826420559	0.48414636782155746	0.46685542611364467	0.44740311669224286	5.600103745650248	3.7867162340328964	16.765729353534915	8.911319082715542	25.04809043162513	24.278643525623014	0.0
Villapol_242_B_1	5.060217078852158	1.8238588491847154	1.1597363334489765	0.9119294245923577	0.706249690241364	0.6393418248500768	0.6591663775586063	0.33701739604500175	0.35684194875353126	9.181245973137731	4.007037716211528	13.951528968627647	9.245675769440451	27.283540665113744	24.676611983942113	0.0
Villapol_242_B_2	8.261882341279675	1.808990434653318	1.0853942607919909	0.8524557664667691	0.7186400356841949	0.7285523120384597	0.36427615601922986	0.6740347920900035	0.28993408336224413	6.524755910194776	2.69861723744858	15.106309163899489	10.653219011746048	26.587203251226644	23.645735243098578	0.0
