"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_279",279,"WT","F","Sham","PAN","35d","PAN",3.63205216670581
"2","Villapol_35d_280",280,"WT","F","Sham","PAN","35d","PAN",3.36342393291718
"3","Villapol_35d_281",281,"WT","F","Sham","PAN","35d","PAN",3.18098558078673
"4","Villapol_35d_282",282,"WT","F","Sham","PAN","35d","PAN",3.25309558584903
"5","Villapol_35d_283",283,"WT","F","Sham","PAN","35d","PAN",2.95279244304409
