# Constructed from biom file
#OTU ID	Villapol_234_B	Villapol_236_B	Villapol_237_B	Villapol_238_B	Villapol_239_B	Villapol_240_B	Villapol_241_B	Villapol_242_B	Villapol_243_B	Villapol_244_B	Villapol_245_B	Villapol_246_B	Villapol_247_B	Villapol_248_B	Villapol_249_B	Villapol_250_B	Villapol_251_B	Villapol_252_B	Villapol_253_B	Villapol_254_B	Villapol_255_B	Villapol_256_B	Villapol_257_B	Villapol_258_B	Villapol_259_B	Villapol_260_B	Villapol_261_B	Villapol_262_B	Villapol_263_B	Villapol_264_B	Villapol_265_B	Villapol_266_B	Villapol_267_B	Villapol_268_B	Villapol_269_B	Villapol_270_B	Villapol_271_B	Villapol_272_B	Villapol_273_B	Villapol_274_B	Villapol_275_B	Villapol_276_B	Villapol_277_B	Villapol_278_B	Villapol_279_B	Villapol_280_B	Villapol_281_B	Villapol_282_B	Villapol_283_B	Villapol_284_B	Villapol_285_B	Villapol_286_B	Villapol_287_B	Villapol_288_B	Villapol_289_B	Villapol_290_B	Villapol_291_B	Villapol_292_B	Villapol_293_B	Villapol_35d_234	Villapol_35d_236	Villapol_35d_237	Villapol_35d_238	Villapol_35d_239	Villapol_35d_240	Villapol_35d_241	Villapol_35d_242	Villapol_35d_243	Villapol_35d_244	Villapol_35d_245	Villapol_35d_246	Villapol_35d_247	Villapol_35d_248	Villapol_35d_249	Villapol_35d_250	Villapol_35d_251	Villapol_35d_252	Villapol_35d_253	Villapol_35d_254	Villapol_35d_255	Villapol_35d_256	Villapol_35d_257	Villapol_35d_258	Villapol_35d_259	Villapol_35d_261	Villapol_35d_262	Villapol_35d_263	Villapol_35d_264	Villapol_35d_265	Villapol_35d_266	Villapol_35d_267	Villapol_35d_268	Villapol_35d_269	Villapol_35d_270	Villapol_35d_271	Villapol_35d_272	Villapol_35d_273	Villapol_35d_274	Villapol_35d_275	Villapol_35d_276	Villapol_35d_277	Villapol_35d_278	Villapol_35d_279	Villapol_35d_280	Villapol_35d_281	Villapol_35d_282	Villapol_35d_283	Villapol_35d_284	Villapol_35d_285	Villapol_35d_286	Villapol_35d_287	Villapol_35d_288	Villapol_35d_289	Villapol_35d_290	Villapol_35d_291	Villapol_35d_292	Villapol_35d_293
Bacteria;Bacteroidota	2083.0	2111.0	2738.0	3609.0	2647.0	2216.0	2999.0	2223.0	2926.0	4007.0	3944.0	2553.0	3407.0	3701.0	3661.0	3359.0	4112.0	4321.0	3610.0	3158.0	3370.0	2762.0	3590.0	2607.0	3550.0	3612.0	4437.0	2435.0	2794.0	3115.0	2213.0	1086.0	1762.0	1528.0	3747.0	3196.0	2559.0	2898.0	3253.0	2923.0	3423.0	4562.0	4570.0	3887.0	1957.0	2660.0	5048.0	3107.0	2876.0	2257.0	3099.0	3570.0	5299.0	4970.0	1965.0	2052.0	3339.0	2755.0	3574.0	3512.0	1335.0	4632.0	3603.0	5869.0	4320.0	6260.0	4635.0	6912.0	1663.0	3991.0	3734.0	4897.0	4513.0	4858.0	3502.0	6332.0	4418.0	3529.0	4808.0	6771.0	6563.0	7151.0	2533.0	3712.0	3414.0	2620.0	5305.0	4771.0	3981.0	2786.0	5274.0	1575.0	2718.0	3947.0	3228.0	2214.0	2825.0	5506.0	3391.0	3976.0	4002.0	6360.0	3693.0	6415.0	5156.0	3331.0	2385.0	7004.0	4365.0	9036.0	7786.0	6506.0	6856.0	3397.0	7347.0	4583.0	5862.0
Bacteria;Firmicutes	12460.0	15998.0	10906.0	14361.0	14946.0	14053.0	12854.0	12115.0	17590.0	15439.0	16528.0	15764.0	16018.0	13972.0	16614.0	15572.0	17639.0	13986.0	21708.0	12673.0	15229.0	12727.0	13894.0	13024.0	15484.0	13680.0	17904.0	12889.0	14362.0	15437.0	19144.0	11384.0	18439.0	11328.0	21409.0	16045.0	11011.0	14942.0	15738.0	15407.0	20598.0	20049.0	18759.0	21123.0	8915.0	15398.0	16774.0	14302.0	17347.0	18770.0	16132.0	15690.0	28653.0	12411.0	18052.0	15456.0	15041.0	16500.0	18932.0	15244.0	9148.0	14501.0	17021.0	14481.0	14914.0	16621.0	15859.0	11460.0	7368.0	15903.0	17084.0	16887.0	14439.0	14540.0	17402.0	14802.0	15513.0	16527.0	11919.0	12935.0	21594.0	15485.0	14484.0	14867.0	14040.0	15160.0	17032.0	19189.0	14989.0	19679.0	19342.0	7501.0	16161.0	18064.0	18029.0	13984.0	12772.0	18985.0	16688.0	14329.0	16391.0	13592.0	17505.0	17806.0	17932.0	13746.0	8678.0	14300.0	11782.0	17517.0	19115.0	14566.0	19553.0	8141.0	13443.0	15284.0	16586.0
Bacteria;Actinobacteriota	89.0	94.0	74.0	97.0	116.0	121.0	68.0	88.0	113.0	162.0	204.0	154.0	179.0	124.0	412.0	258.0	262.0	353.0	304.0	335.0	183.0	283.0	99.0	107.0	197.0	87.0	322.0	230.0	314.0	206.0	169.0	134.0	220.0	174.0	222.0	535.0	284.0	303.0	245.0	522.0	724.0	81.0	471.0	189.0	118.0	199.0	226.0	222.0	144.0	195.0	228.0	194.0	357.0	92.0	134.0	178.0	357.0	266.0	244.0	166.0	56.0	138.0	101.0	249.0	197.0	224.0	301.0	228.0	96.0	246.0	223.0	151.0	464.0	1013.0	772.0	419.0	1076.0	1054.0	88.0	204.0	122.0	111.0	108.0	177.0	135.0	237.0	207.0	158.0	387.0	380.0	166.0	134.0	244.0	178.0	167.0	164.0	202.0	107.0	77.0	114.0	110.0	37.0	227.0	351.0	189.0	319.0	101.0	276.0	203.0	413.0	642.0	233.0	241.0	224.0	364.0	300.0	728.0
Bacteria;	25.0	3.0	0.0	13.0	2.0	4.0	0.0	8.0	44.0	17.0	16.0	39.0	18.0	4.0	10.0	5.0	15.0	0.0	9.0	14.0	0.0	19.0	3.0	62.0	18.0	4.0	1.0	50.0	4.0	0.0	9.0	0.0	13.0	0.0	23.0	5.0	0.0	0.0	0.0	35.0	69.0	62.0	5.0	16.0	16.0	6.0	13.0	0.0	43.0	28.0	37.0	4.0	105.0	5.0	5.0	0.0	4.0	10.0	0.0	0.0	6.0	41.0	18.0	3.0	13.0	23.0	0.0	0.0	1.0	3.0	0.0	0.0	21.0	0.0	9.0	10.0	21.0	1.0	8.0	0.0	14.0	1.0	0.0	0.0	4.0	0.0	2.0	0.0	33.0	0.0	72.0	36.0	24.0	17.0	16.0	37.0	2.0	11.0	1.0	66.0	57.0	91.0	5.0	0.0	3.0	23.0	4.0	0.0	0.0	0.0	6.0	56.0	81.0	30.0	0.0	78.0	7.0
Bacteria;Verrucomicrobiota	403.0	220.0	224.0	313.0	459.0	420.0	497.0	289.0	584.0	361.0	176.0	79.0	14.0	234.0	175.0	15.0	100.0	250.0	23.0	548.0	389.0	360.0	122.0	311.0	652.0	609.0	962.0	218.0	503.0	137.0	146.0	4.0	39.0	102.0	280.0	100.0	324.0	184.0	321.0	435.0	558.0	88.0	127.0	118.0	625.0	347.0	916.0	681.0	276.0	187.0	780.0	432.0	371.0	222.0	485.0	273.0	548.0	627.0	185.0	529.0	61.0	543.0	150.0	124.0	122.0	158.0	563.0	928.0	61.0	485.0	292.0	18.0	280.0	786.0	20.0	932.0	842.0	30.0	610.0	655.0	893.0	767.0	346.0	610.0	475.0	160.0	526.0	0.0	201.0	11.0	664.0	73.0	97.0	197.0	108.0	103.0	38.0	158.0	0.0	77.0	57.0	33.0	9.0	6.0	24.0	275.0	29.0	216.0	53.0	529.0	576.0	93.0	361.0	395.0	519.0	995.0	328.0
Bacteria;Proteobacteria	47.0	39.0	33.0	63.0	43.0	56.0	26.0	27.0	26.0	71.0	59.0	10.0	58.0	25.0	48.0	44.0	8.0	50.0	28.0	78.0	86.0	43.0	65.0	72.0	115.0	75.0	126.0	112.0	115.0	6.0	50.0	10.0	92.0	29.0	18.0	21.0	16.0	44.0	23.0	123.0	244.0	0.0	116.0	70.0	58.0	65.0	95.0	49.0	42.0	47.0	58.0	38.0	36.0	31.0	164.0	57.0	4.0	24.0	89.0	0.0	0.0	4.0	0.0	66.0	52.0	69.0	37.0	0.0	12.0	24.0	16.0	15.0	22.0	32.0	18.0	26.0	43.0	5.0	0.0	0.0	0.0	5.0	6.0	77.0	33.0	87.0	208.0	0.0	0.0	0.0	0.0	0.0	7.0	10.0	9.0	7.0	0.0	70.0	104.0	6.0	24.0	10.0	38.0	51.0	26.0	35.0	24.0	144.0	31.0	91.0	112.0	20.0	90.0	12.0	7.0	11.0	15.0
;	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
