sample	input_tax_filter	filtered_tax_filter	lost	retained_percent	lost_percent
Villapol_35d_284	21940	21940.0	0.0	100.0	0.0
Villapol_35d_285	16434	16434.0	0.0	100.0	0.0
Villapol_35d_286	27586	27586.0	0.0	100.0	0.0
Villapol_35d_287	28237	28237.0	0.0	100.0	0.0
Villapol_35d_288	21474	21474.0	0.0	100.0	0.0
Villapol_35d_289	27182	27182.0	0.0	100.0	0.0
Villapol_35d_290	12199	12199.0	0.0	100.0	0.0
Villapol_35d_291	21680	21680.0	0.0	100.0	0.0
Villapol_35d_292	21251	21251.0	0.0	100.0	0.0
Villapol_35d_293	23526	23526.0	0.0	100.0	0.0
