"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_35d_279",279,"WT","F","Sham","PAN","35d","PAN",4.23911568987513
"2","Villapol_35d_280",280,"WT","F","Sham","PAN","35d","PAN",4.05478132393603
"3","Villapol_35d_281",281,"WT","F","Sham","PAN","35d","PAN",3.37222368175804
"4","Villapol_35d_282",282,"WT","F","Sham","PAN","35d","PAN",3.33508798453777
"5","Villapol_35d_283",283,"WT","F","Sham","PAN","35d","PAN",3.67965296541426
