"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_254",254,"WT","M","CCI","Vehicle","35d","PAN",5.48306503876045
"2","Villapol_35d_255",255,"WT","M","CCI","Vehicle","35d","PAN",6.10585875415544
"3","Villapol_35d_256",256,"WT","M","CCI","Vehicle","35d","PAN",4.94648601068961
"4","Villapol_35d_257",257,"WT","M","CCI","Vehicle","35d","PAN",1.54360087646627
"5","Villapol_35d_258",258,"WT","M","CCI","Vehicle","35d","PAN",6.78693959106591
"6","Villapol_35d_259",259,"WT","M","CCI","Vehicle","35d","PAN",5.77726451672688
"7","Villapol_35d_261",261,"WT","M","CCI","Vehicle","35d","PAN",4.62607009576109
"8","Villapol_35d_262",262,"WT","M","CCI","Vehicle","35d","PAN",6.47020482736586
"9","Villapol_35d_263",263,"WT","M","CCI","Vehicle","35d","PAN",4.9653601270011
