"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","gasseri"
"1","Villapol_35d_279",279,"WT","F","Sham","PAN","35d","PAN",2.30516973201014
"2","Villapol_35d_280",280,"WT","F","Sham","PAN","35d","PAN",1.10012514222294
"3","Villapol_35d_281",281,"WT","F","Sham","PAN","35d","PAN",0.376485179097011
"4","Villapol_35d_282",282,"WT","F","Sham","PAN","35d","PAN",1.63497554604497
"5","Villapol_35d_283",283,"WT","F","Sham","PAN","35d","PAN",2.30143959553357
