"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_289",289,"WT","F","Sham","Vehicle","35d","PAN",4.03543321956155
"2","Villapol_35d_290",290,"WT","F","Sham","Vehicle","35d","PAN",3.24216688589836
"3","Villapol_35d_291",291,"WT","F","Sham","Vehicle","35d","PAN",1.72090146229978
"4","Villapol_35d_292",292,"WT","F","Sham","Vehicle","35d","PAN",3.3542614530681
"5","Villapol_35d_293",293,"WT","F","Sham","Vehicle","35d","PAN",1.97281959363515
