"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_254",254,"WT","M","CCI","Vehicle","35d","PAN",2.99701014070874
"2","Villapol_35d_255",255,"WT","M","CCI","Vehicle","35d","PAN",3.36292551802611
"3","Villapol_35d_256",256,"WT","M","CCI","Vehicle","35d","PAN",2.95645632786608
"4","Villapol_35d_257",257,"WT","M","CCI","Vehicle","35d","PAN",-0.388199695347294
"5","Villapol_35d_258",258,"WT","M","CCI","Vehicle","35d","PAN",4.27724563327907
"6","Villapol_35d_259",259,"WT","M","CCI","Vehicle","35d","PAN",3.08232870049131
"7","Villapol_35d_261",261,"WT","M","CCI","Vehicle","35d","PAN",2.49109067616937
"8","Villapol_35d_262",262,"WT","M","CCI","Vehicle","35d","PAN",3.60988842841412
"9","Villapol_35d_263",263,"WT","M","CCI","Vehicle","35d","PAN",3.12254389220984
