"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_35d_279",279,"WT","F","Sham","PAN","35d","PAN",1.98108920953901
"2","Villapol_35d_280",280,"WT","F","Sham","PAN","35d","PAN",2.20678351512173
"3","Villapol_35d_281",281,"WT","F","Sham","PAN","35d","PAN",1.27696260395594
"4","Villapol_35d_282",282,"WT","F","Sham","PAN","35d","PAN",0.934149454311309
"5","Villapol_35d_283",283,"WT","F","Sham","PAN","35d","PAN",0.713700276149428
