"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_279",279,"WT","F","Sham","PAN","35d","PAN",4.57764781701997
"2","Villapol_35d_280",280,"WT","F","Sham","PAN","35d","PAN",3.72139247816583
"3","Villapol_35d_281",281,"WT","F","Sham","PAN","35d","PAN",3.2510300748049
"4","Villapol_35d_282",282,"WT","F","Sham","PAN","35d","PAN",3.46063263478762
"5","Villapol_35d_283",283,"WT","F","Sham","PAN","35d","PAN",3.03496525677061
