index,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Firmicutes;Bacilli,Bacteria;Firmicutes;Clostridia,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;;,Bacteria;Verrucomicrobiota;Verrucomicrobiae,Bacteria;Firmicutes;,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Actinobacteriota;Actinobacteria,;;,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_272_B,2898.0,11471.0,3471.0,106.0,0.0,184.0,0.0,44.0,197.0,0.0,272.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_273_B,3253.0,8886.0,6852.0,94.0,0.0,321.0,0.0,23.0,151.0,0.0,273.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_274_B,2923.0,8071.0,7336.0,89.0,35.0,435.0,0.0,123.0,433.0,0.0,274.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_275_B,3423.0,12010.0,8588.0,107.0,69.0,558.0,0.0,244.0,617.0,0.0,275.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_276_B,4562.0,8257.0,11791.0,68.0,62.0,88.0,1.0,0.0,13.0,0.0,276.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_277_B,4570.0,9654.0,9101.0,161.0,5.0,127.0,4.0,116.0,310.0,0.0,277.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_278_B,3887.0,12729.0,8393.0,69.0,16.0,118.0,1.0,70.0,120.0,0.0,278.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_279_B,1957.0,5476.0,3438.0,44.0,16.0,625.0,1.0,58.0,74.0,0.0,279.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_280_B,2660.0,9640.0,5758.0,126.0,6.0,347.0,0.0,65.0,73.0,0.0,280.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_281_B,5048.0,9256.0,7518.0,97.0,13.0,916.0,0.0,95.0,129.0,0.0,281.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_282_B,3107.0,11801.0,2500.0,100.0,0.0,681.0,1.0,49.0,122.0,0.0,282.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_283_B,2876.0,9344.0,8003.0,86.0,43.0,276.0,0.0,42.0,58.0,0.0,283.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_284_B,2257.0,9564.0,9205.0,176.0,28.0,187.0,1.0,47.0,19.0,0.0,284.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_285_B,3099.0,6981.0,9151.0,211.0,37.0,780.0,0.0,58.0,17.0,0.0,285.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_286_B,3570.0,9144.0,6546.0,173.0,4.0,432.0,0.0,38.0,21.0,0.0,286.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_287_B,5299.0,17465.0,11188.0,312.0,105.0,371.0,0.0,36.0,45.0,0.0,287.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_288_B,4970.0,1789.0,10622.0,90.0,5.0,222.0,0.0,31.0,2.0,0.0,288.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_289_B,1965.0,14946.0,3106.0,43.0,5.0,485.0,0.0,164.0,91.0,0.0,289.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_290_B,2052.0,13888.0,1568.0,49.0,0.0,273.0,0.0,57.0,129.0,0.0,290.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_291_B,3339.0,12214.0,2827.0,118.0,4.0,548.0,0.0,4.0,239.0,0.0,291.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_292_B,2755.0,12060.0,4439.0,140.0,10.0,627.0,1.0,24.0,126.0,0.0,292.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_293_B,3574.0,15975.0,2957.0,85.0,0.0,185.0,0.0,89.0,159.0,0.0,293.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_35d_234,3512.0,11883.0,3359.0,96.0,0.0,529.0,2.0,0.0,70.0,0.0,234.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_236,1335.0,5013.0,4131.0,29.0,6.0,61.0,4.0,0.0,27.0,0.0,236.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_237,4632.0,9505.0,4996.0,61.0,41.0,543.0,0.0,4.0,77.0,0.0,237.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_238,3603.0,8718.0,8303.0,59.0,18.0,150.0,0.0,0.0,42.0,0.0,238.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_239,5869.0,9830.0,4648.0,75.0,3.0,124.0,3.0,66.0,174.0,0.0,239.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_240,4320.0,9166.0,5747.0,65.0,13.0,122.0,1.0,52.0,132.0,0.0,240.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_241,6260.0,9555.0,7066.0,117.0,23.0,158.0,0.0,69.0,107.0,0.0,241.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_242,4635.0,10744.0,5114.0,112.0,0.0,563.0,1.0,37.0,189.0,2.0,242.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_243,6912.0,4446.0,7014.0,156.0,0.0,928.0,0.0,0.0,72.0,0.0,243.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_244,1663.0,5916.0,1452.0,65.0,1.0,61.0,0.0,12.0,31.0,0.0,244.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_245,3991.0,11451.0,4452.0,139.0,3.0,485.0,0.0,24.0,107.0,0.0,245.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_246,3734.0,13442.0,3642.0,96.0,0.0,292.0,0.0,16.0,127.0,0.0,246.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_247,4897.0,10872.0,6011.0,95.0,0.0,18.0,4.0,15.0,56.0,0.0,247.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_248,4513.0,10089.0,4350.0,370.0,21.0,280.0,0.0,22.0,94.0,0.0,248.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_249,4858.0,10264.0,4276.0,780.0,0.0,786.0,0.0,32.0,233.0,0.0,249.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_250,3502.0,10484.0,6918.0,579.0,9.0,20.0,0.0,18.0,193.0,0.0,250.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_251,6332.0,9909.0,4893.0,317.0,10.0,932.0,0.0,26.0,102.0,0.0,251.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_252,4418.0,10405.0,5105.0,803.0,21.0,842.0,3.0,43.0,273.0,0.0,252.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_253,3529.0,10246.0,6281.0,826.0,1.0,30.0,0.0,5.0,228.0,0.0,253.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_254,4808.0,5736.0,6183.0,64.0,8.0,610.0,0.0,0.0,24.0,0.0,254.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_255,6771.0,8575.0,4360.0,93.0,0.0,655.0,0.0,0.0,111.0,0.0,255.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_256,6563.0,8967.0,12627.0,80.0,14.0,893.0,0.0,0.0,42.0,0.0,256.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_257,7151.0,5029.0,10456.0,101.0,1.0,767.0,0.0,5.0,10.0,0.0,257.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_258,2533.0,11520.0,2964.0,35.0,0.0,346.0,0.0,6.0,73.0,0.0,258.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_259,3712.0,11869.0,2998.0,69.0,0.0,610.0,0.0,77.0,108.0,0.0,259.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_261,3414.0,10112.0,3928.0,68.0,4.0,475.0,0.0,33.0,67.0,0.0,261.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_262,2620.0,13574.0,1586.0,106.0,0.0,160.0,0.0,87.0,131.0,0.0,262.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_263,5305.0,13395.0,3634.0,105.0,2.0,526.0,3.0,208.0,102.0,0.0,263.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_264,4771.0,11335.0,7821.0,49.0,0.0,0.0,33.0,0.0,109.0,0.0,264.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_265,3981.0,10363.0,4626.0,146.0,33.0,201.0,0.0,0.0,241.0,0.0,265.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_266,2786.0,14252.0,5424.0,88.0,0.0,11.0,3.0,0.0,292.0,0.0,266.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_267,5274.0,15102.0,4240.0,78.0,72.0,664.0,0.0,0.0,88.0,0.0,267.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_268,1575.0,5649.0,1852.0,58.0,36.0,73.0,0.0,0.0,76.0,0.0,268.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_269,2718.0,13761.0,2400.0,99.0,24.0,97.0,0.0,7.0,145.0,0.0,269.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_270,3947.0,13015.0,5048.0,114.0,17.0,197.0,1.0,10.0,64.0,0.0,270.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_271,3228.0,14799.0,3230.0,63.0,16.0,108.0,0.0,9.0,104.0,0.0,271.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_272,2214.0,10969.0,3015.0,84.0,37.0,103.0,0.0,7.0,80.0,0.0,272.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_273,2825.0,9809.0,2963.0,88.0,2.0,38.0,0.0,0.0,114.0,0.0,273.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_274,5506.0,12402.0,6580.0,98.0,11.0,158.0,3.0,70.0,9.0,0.0,274.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_275,3391.0,11173.0,5515.0,69.0,1.0,0.0,0.0,104.0,8.0,0.0,275.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_276,3976.0,7735.0,6594.0,104.0,66.0,77.0,0.0,6.0,10.0,2.0,276.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_277,4002.0,9895.0,6496.0,99.0,57.0,57.0,0.0,24.0,11.0,0.0,277.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_278,6360.0,3215.0,10377.0,37.0,91.0,33.0,0.0,10.0,0.0,0.0,278.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_279,3693.0,12967.0,4537.0,124.0,5.0,9.0,1.0,38.0,103.0,0.0,279.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_280,6415.0,11045.0,6760.0,178.0,0.0,6.0,1.0,51.0,173.0,0.0,280.0,WT,F,Sham,PAN,35d,PAN
