index,Bacteria,,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_35d_246,21349.0,0.0,246.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_247,21968.0,0.0,247.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_248,19739.0,0.0,248.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_249,21229.0,0.0,249.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_250,21723.0,0.0,250.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_251,22521.0,0.0,251.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_252,21913.0,0.0,252.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_253,21146.0,0.0,253.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_254,17433.0,0.0,254.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_255,20565.0,0.0,255.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_256,29186.0,0.0,256.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_257,23520.0,0.0,257.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_258,17477.0,0.0,258.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_259,19443.0,0.0,259.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_261,18101.0,0.0,261.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_262,18264.0,0.0,262.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_263,23280.0,0.0,263.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_264,24118.0,0.0,264.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_265,19591.0,0.0,265.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_266,22856.0,0.0,266.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_267,25518.0,0.0,267.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_268,9319.0,0.0,268.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_269,19251.0,0.0,269.0,WT,F,CCI,Vehicle,35d,PAN
