index,Bacteria;Bacteroidota,Bacteria;Firmicutes,Bacteria;Actinobacteriota,Bacteria;,Bacteria;Verrucomicrobiota,Bacteria;Proteobacteria,;,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_281_B,5048.0,16774.0,226.0,13.0,916.0,95.0,0.0,281.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_282_B,3107.0,14302.0,222.0,0.0,681.0,49.0,0.0,282.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_283_B,2876.0,17347.0,144.0,43.0,276.0,42.0,0.0,283.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_284_B,2257.0,18770.0,195.0,28.0,187.0,47.0,0.0,284.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_285_B,3099.0,16132.0,228.0,37.0,780.0,58.0,0.0,285.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_286_B,3570.0,15690.0,194.0,4.0,432.0,38.0,0.0,286.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_287_B,5299.0,28653.0,357.0,105.0,371.0,36.0,0.0,287.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_288_B,4970.0,12411.0,92.0,5.0,222.0,31.0,0.0,288.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_289_B,1965.0,18052.0,134.0,5.0,485.0,164.0,0.0,289.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_290_B,2052.0,15456.0,178.0,0.0,273.0,57.0,0.0,290.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_291_B,3339.0,15041.0,357.0,4.0,548.0,4.0,0.0,291.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_292_B,2755.0,16500.0,266.0,10.0,627.0,24.0,0.0,292.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_293_B,3574.0,18932.0,244.0,0.0,185.0,89.0,0.0,293.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_35d_234,3512.0,15244.0,166.0,0.0,529.0,0.0,0.0,234.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_236,1335.0,9148.0,56.0,6.0,61.0,0.0,0.0,236.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_237,4632.0,14501.0,138.0,41.0,543.0,4.0,0.0,237.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_238,3603.0,17021.0,101.0,18.0,150.0,0.0,0.0,238.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_239,5869.0,14481.0,249.0,3.0,124.0,66.0,0.0,239.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_240,4320.0,14914.0,197.0,13.0,122.0,52.0,0.0,240.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_241,6260.0,16621.0,224.0,23.0,158.0,69.0,0.0,241.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_242,4635.0,15859.0,301.0,0.0,563.0,37.0,2.0,242.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_243,6912.0,11460.0,228.0,0.0,928.0,0.0,0.0,243.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_244,1663.0,7368.0,96.0,1.0,61.0,12.0,0.0,244.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_245,3991.0,15903.0,246.0,3.0,485.0,24.0,0.0,245.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_246,3734.0,17084.0,223.0,0.0,292.0,16.0,0.0,246.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_247,4897.0,16887.0,151.0,0.0,18.0,15.0,0.0,247.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_248,4513.0,14439.0,464.0,21.0,280.0,22.0,0.0,248.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_249,4858.0,14540.0,1013.0,0.0,786.0,32.0,0.0,249.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_250,3502.0,17402.0,772.0,9.0,20.0,18.0,0.0,250.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_251,6332.0,14802.0,419.0,10.0,932.0,26.0,0.0,251.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_252,4418.0,15513.0,1076.0,21.0,842.0,43.0,0.0,252.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_253,3529.0,16527.0,1054.0,1.0,30.0,5.0,0.0,253.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_254,4808.0,11919.0,88.0,8.0,610.0,0.0,0.0,254.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_255,6771.0,12935.0,204.0,0.0,655.0,0.0,0.0,255.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_256,6563.0,21594.0,122.0,14.0,893.0,0.0,0.0,256.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_257,7151.0,15485.0,111.0,1.0,767.0,5.0,0.0,257.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_258,2533.0,14484.0,108.0,0.0,346.0,6.0,0.0,258.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_259,3712.0,14867.0,177.0,0.0,610.0,77.0,0.0,259.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_261,3414.0,14040.0,135.0,4.0,475.0,33.0,0.0,261.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_262,2620.0,15160.0,237.0,0.0,160.0,87.0,0.0,262.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_263,5305.0,17032.0,207.0,2.0,526.0,208.0,0.0,263.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_264,4771.0,19189.0,158.0,0.0,0.0,0.0,0.0,264.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_265,3981.0,14989.0,387.0,33.0,201.0,0.0,0.0,265.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_266,2786.0,19679.0,380.0,0.0,11.0,0.0,0.0,266.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_267,5274.0,19342.0,166.0,72.0,664.0,0.0,0.0,267.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_268,1575.0,7501.0,134.0,36.0,73.0,0.0,0.0,268.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_269,2718.0,16161.0,244.0,24.0,97.0,7.0,0.0,269.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_270,3947.0,18064.0,178.0,17.0,197.0,10.0,0.0,270.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_271,3228.0,18029.0,167.0,16.0,108.0,9.0,0.0,271.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_272,2214.0,13984.0,164.0,37.0,103.0,7.0,0.0,272.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_273,2825.0,12772.0,202.0,2.0,38.0,0.0,0.0,273.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_274,5506.0,18985.0,107.0,11.0,158.0,70.0,0.0,274.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_275,3391.0,16688.0,77.0,1.0,0.0,104.0,0.0,275.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_276,3976.0,14329.0,114.0,66.0,77.0,6.0,2.0,276.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_277,4002.0,16391.0,110.0,57.0,57.0,24.0,0.0,277.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_278,6360.0,13592.0,37.0,91.0,33.0,10.0,0.0,278.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_279,3693.0,17505.0,227.0,5.0,9.0,38.0,0.0,279.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_280,6415.0,17806.0,351.0,0.0,6.0,51.0,0.0,280.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_281,5156.0,17932.0,189.0,3.0,24.0,26.0,0.0,281.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_282,3331.0,13746.0,319.0,23.0,275.0,35.0,0.0,282.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_283,2385.0,8678.0,101.0,4.0,29.0,24.0,0.0,283.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_284,7004.0,14300.0,276.0,0.0,216.0,144.0,0.0,284.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_285,4365.0,11782.0,203.0,0.0,53.0,31.0,0.0,285.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_286,9036.0,17517.0,413.0,0.0,529.0,91.0,0.0,286.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_287,7786.0,19115.0,642.0,6.0,576.0,112.0,0.0,287.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_288,6506.0,14566.0,233.0,56.0,93.0,20.0,0.0,288.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_289,6856.0,19553.0,241.0,81.0,361.0,90.0,0.0,289.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_290,3397.0,8141.0,224.0,30.0,395.0,12.0,0.0,290.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_291,7347.0,13443.0,364.0,0.0,519.0,7.0,0.0,291.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_292,4583.0,15284.0,300.0,78.0,995.0,11.0,0.0,292.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_293,5862.0,16586.0,728.0,7.0,328.0,15.0,0.0,293.0,WT,F,Sham,Vehicle,35d,PAN
