index,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;;;,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;;,Bacteria;Firmicutes;Bacilli;,Bacteria;Bacteroidota;Bacteroidia;,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Firmicutes;Clostridia;,Bacteria;Firmicutes;Clostridia;Christensenellales,;;;,Bacteria;Firmicutes;Bacilli;Acholeplasmatales,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Clostridia;Eubacteriales,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_35d_250,3502.0,49.0,2190.0,4543.0,8168.0,970.0,579.0,643.0,281.0,7.0,317.0,9.0,146.0,20.0,4.0,0.0,0.0,0.0,18.0,193.0,2.0,5.0,0.0,77.0,0.0,0.0,0.0,250.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_251,6332.0,44.0,3935.0,2843.0,5866.0,726.0,317.0,559.0,128.0,9.0,309.0,10.0,274.0,932.0,29.0,0.0,0.0,0.0,26.0,102.0,0.0,12.0,0.0,64.0,0.0,0.0,4.0,251.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_252,4418.0,48.0,2480.0,2938.0,7735.0,878.0,803.0,500.0,315.0,6.0,294.0,21.0,131.0,842.0,35.0,3.0,1.0,0.0,43.0,273.0,0.0,5.0,0.0,141.0,0.0,0.0,3.0,252.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_253,3527.0,17.0,2814.0,4288.0,7346.0,1303.0,826.0,305.0,127.0,9.0,108.0,1.0,133.0,30.0,3.0,0.0,2.0,2.0,5.0,228.0,0.0,5.0,0.0,67.0,0.0,0.0,0.0,253.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_254,4808.0,0.0,1357.0,4243.0,4335.0,1048.0,64.0,185.0,411.0,14.0,109.0,8.0,131.0,610.0,42.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,254.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_255,6771.0,60.0,2489.0,2763.0,5848.0,962.0,93.0,175.0,142.0,7.0,60.0,0.0,165.0,655.0,86.0,0.0,2.0,0.0,0.0,111.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,255.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_256,6563.0,115.0,1674.0,8881.0,7078.0,2694.0,80.0,314.0,287.0,22.0,200.0,14.0,213.0,893.0,14.0,0.0,2.0,0.0,0.0,42.0,2.0,0.0,0.0,98.0,0.0,0.0,0.0,256.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_257,7151.0,69.0,41.0,7325.0,4656.0,1850.0,101.0,283.0,400.0,10.0,212.0,1.0,363.0,767.0,10.0,0.0,1.0,0.0,5.0,10.0,3.0,0.0,0.0,262.0,0.0,0.0,0.0,257.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_258,2533.0,10.0,3390.0,2155.0,8067.0,434.0,35.0,54.0,169.0,5.0,0.0,0.0,140.0,346.0,7.0,0.0,0.0,0.0,6.0,73.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,258.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_259,3712.0,7.0,1466.0,1884.0,10285.0,789.0,69.0,47.0,161.0,5.0,19.0,0.0,83.0,610.0,0.0,0.0,0.0,0.0,77.0,108.0,0.0,10.0,0.0,111.0,0.0,0.0,0.0,259.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_261,3414.0,73.0,570.0,2758.0,9305.0,904.0,68.0,33.0,95.0,5.0,23.0,4.0,94.0,475.0,6.0,0.0,1.0,0.0,33.0,67.0,0.0,10.0,0.0,163.0,0.0,0.0,0.0,261.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_262,2620.0,0.0,2147.0,1088.0,11427.0,306.0,106.0,39.0,29.0,0.0,8.0,0.0,113.0,160.0,0.0,0.0,0.0,0.0,87.0,131.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,262.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_263,5305.0,38.0,1118.0,2384.0,11884.0,931.0,105.0,42.0,117.0,3.0,14.0,2.0,127.0,526.0,9.0,3.0,1.0,0.0,208.0,102.0,0.0,7.0,0.0,354.0,0.0,0.0,0.0,263.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_264,4771.0,0.0,2379.0,6146.0,8955.0,1288.0,49.0,40.0,70.0,9.0,0.0,0.0,244.0,0.0,18.0,33.0,1.0,0.0,0.0,109.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,264.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_265,3981.0,16.0,1165.0,3338.0,9182.0,963.0,146.0,61.0,81.0,0.0,17.0,33.0,149.0,201.0,6.0,0.0,0.0,0.0,0.0,241.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,265.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_266,2786.0,34.0,4117.0,3928.0,10096.0,1068.0,88.0,225.0,12.0,3.0,104.0,0.0,71.0,11.0,5.0,3.0,0.0,0.0,0.0,292.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,266.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_267,5274.0,0.0,9591.0,3194.0,5475.0,654.0,78.0,25.0,54.0,6.0,0.0,72.0,232.0,664.0,67.0,0.0,0.0,0.0,0.0,88.0,0.0,8.0,0.0,36.0,0.0,0.0,0.0,267.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_268,1575.0,0.0,1511.0,1406.0,4127.0,257.0,58.0,89.0,16.0,0.0,11.0,36.0,58.0,73.0,11.0,0.0,0.0,0.0,0.0,76.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,268.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_269,2718.0,0.0,3533.0,880.0,10138.0,310.0,99.0,645.0,26.0,0.0,459.0,24.0,71.0,97.0,7.0,0.0,0.0,0.0,7.0,145.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,269.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_270,3947.0,8.0,2580.0,3167.0,10427.0,793.0,114.0,471.0,60.0,0.0,378.0,17.0,140.0,197.0,35.0,1.0,0.0,0.0,10.0,64.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,270.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_271,3228.0,34.0,4684.0,1101.0,10030.0,509.0,63.0,680.0,323.0,3.0,497.0,16.0,92.0,108.0,16.0,0.0,0.0,0.0,9.0,104.0,0.0,9.0,0.0,51.0,0.0,0.0,0.0,271.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_272,2214.0,11.0,1745.0,1644.0,9193.0,632.0,84.0,361.0,9.0,0.0,313.0,37.0,39.0,103.0,13.0,0.0,0.0,0.0,7.0,80.0,0.0,4.0,0.0,20.0,0.0,0.0,0.0,272.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_273,2825.0,15.0,1082.0,1378.0,8694.0,603.0,88.0,443.0,47.0,3.0,396.0,2.0,81.0,38.0,8.0,0.0,0.0,0.0,0.0,114.0,0.0,4.0,0.0,18.0,0.0,0.0,0.0,273.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_274,5506.0,10.0,3869.0,5004.0,8414.0,1203.0,98.0,32.0,59.0,18.0,15.0,11.0,233.0,158.0,13.0,3.0,0.0,0.0,70.0,9.0,0.0,3.0,0.0,109.0,0.0,0.0,0.0,274.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_275,3391.0,10.0,862.0,4267.0,10294.0,899.0,69.0,56.0,118.0,8.0,10.0,1.0,148.0,0.0,5.0,0.0,0.0,0.0,104.0,8.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,275.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_276,3976.0,33.0,386.0,4796.0,7038.0,1245.0,104.0,48.0,187.0,8.0,27.0,66.0,250.0,77.0,24.0,0.0,1.0,0.0,6.0,10.0,2.0,7.0,2.0,277.0,0.0,0.0,0.0,276.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_277,4002.0,54.0,345.0,4781.0,9253.0,1101.0,99.0,49.0,285.0,12.0,51.0,57.0,185.0,57.0,21.0,0.0,1.0,0.0,24.0,11.0,0.0,11.0,0.0,242.0,0.0,0.0,0.0,277.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_278,6359.0,17.0,187.0,8284.0,2986.0,1784.0,37.0,43.0,157.0,18.0,0.0,91.0,80.0,33.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,8.0,0.0,25.0,0.0,0.0,0.0,278.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_279,3693.0,9.0,4327.0,1900.0,8629.0,444.0,124.0,924.0,317.0,0.0,707.0,5.0,216.0,9.0,22.0,1.0,0.0,0.0,38.0,103.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,279.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_280,6415.0,40.0,2366.0,3737.0,8639.0,1248.0,178.0,595.0,347.0,16.0,707.0,0.0,58.0,6.0,44.0,1.0,0.0,0.0,51.0,173.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,280.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_281,5156.0,211.0,1538.0,5651.0,7128.0,1641.0,93.0,654.0,350.0,7.0,607.0,3.0,96.0,24.0,39.0,0.0,1.0,0.0,26.0,96.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,281.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_282,3331.0,10.0,1817.0,3452.0,6771.0,765.0,201.0,469.0,39.0,0.0,293.0,23.0,94.0,275.0,31.0,0.0,0.0,0.0,35.0,118.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,282.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_283,2385.0,27.0,907.0,1323.0,5088.0,410.0,71.0,353.0,149.0,4.0,355.0,4.0,51.0,29.0,8.0,0.0,0.0,0.0,24.0,30.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,283.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_284,7004.0,34.0,1054.0,1629.0,10480.0,495.0,98.0,39.0,208.0,0.0,135.0,0.0,185.0,216.0,8.0,1.0,0.0,0.0,144.0,178.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,284.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_285,4365.0,11.0,2641.0,1523.0,6850.0,309.0,60.0,23.0,66.0,2.0,12.0,0.0,260.0,53.0,2.0,1.0,0.0,0.0,31.0,143.0,5.0,0.0,0.0,77.0,0.0,0.0,0.0,285.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_286,9036.0,54.0,1585.0,2078.0,12660.0,451.0,189.0,89.0,331.0,4.0,118.0,0.0,72.0,529.0,35.0,0.0,1.0,0.0,91.0,224.0,0.0,6.0,0.0,33.0,0.0,0.0,0.0,286.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_287,7786.0,35.0,3790.0,2879.0,10230.0,886.0,265.0,166.0,325.0,15.0,390.0,6.0,284.0,576.0,16.0,0.0,1.0,0.0,112.0,377.0,0.0,7.0,0.0,91.0,0.0,0.0,0.0,287.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_288,6506.0,53.0,822.0,5183.0,6586.0,1102.0,111.0,99.0,168.0,2.0,290.0,56.0,174.0,93.0,0.0,52.0,0.0,0.0,20.0,122.0,8.0,8.0,0.0,19.0,0.0,0.0,0.0,288.0,WT,M,Sham,Vehicle,35d,PAN
Villapol_35d_289,6856.0,34.0,5275.0,4841.0,6333.0,1386.0,221.0,643.0,239.0,14.0,388.0,81.0,129.0,361.0,19.0,0.0,0.0,0.0,90.0,20.0,0.0,3.0,0.0,249.0,0.0,0.0,0.0,289.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_290,3397.0,68.0,1253.0,1229.0,4113.0,371.0,191.0,334.0,382.0,6.0,206.0,30.0,59.0,395.0,0.0,0.0,1.0,0.0,12.0,33.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,290.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_291,7347.0,102.0,331.0,1752.0,7834.0,729.0,329.0,855.0,264.0,7.0,1119.0,0.0,97.0,519.0,10.0,0.0,0.0,0.0,7.0,35.0,0.0,9.0,0.0,334.0,0.0,0.0,0.0,291.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_292,4583.0,81.0,1680.0,4437.0,5966.0,1399.0,256.0,330.0,924.0,10.0,104.0,78.0,124.0,995.0,33.0,0.0,2.0,0.0,11.0,44.0,9.0,14.0,0.0,171.0,0.0,0.0,0.0,292.0,WT,F,Sham,Vehicle,35d,PAN
Villapol_35d_293,5862.0,20.0,487.0,1681.0,12470.0,514.0,637.0,648.0,42.0,7.0,440.0,7.0,58.0,328.0,5.0,4.0,0.0,0.0,15.0,91.0,0.0,6.0,0.0,204.0,0.0,0.0,0.0,293.0,WT,F,Sham,Vehicle,35d,PAN
