index,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;;;,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;;,Bacteria;Firmicutes;Bacilli;,Bacteria;Bacteroidota;Bacteroidia;,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Firmicutes;Clostridia;,Bacteria;Firmicutes;Clostridia;Christensenellales,;;;,Bacteria;Firmicutes;Bacilli;Acholeplasmatales,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Clostridia;Eubacteriales,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_251_B,4112.0,0.0,11310.0,2432.0,2885.0,588.0,110.0,135.0,65.0,3.0,8.0,15.0,187.0,100.0,26.0,0.0,0.0,0.0,8.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_252_B,4321.0,0.0,6009.0,3100.0,3344.0,875.0,152.0,184.0,168.0,0.0,25.0,0.0,188.0,250.0,13.0,0.0,0.0,0.0,50.0,201.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,252.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_253_B,3610.0,0.0,12173.0,5036.0,2717.0,1149.0,163.0,143.0,157.0,0.0,17.0,9.0,182.0,23.0,29.0,2.0,0.0,0.0,28.0,141.0,4.0,0.0,0.0,74.0,25.0,0.0,0.0,253.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_254_B,3158.0,12.0,3359.0,1719.0,5683.0,656.0,112.0,433.0,469.0,8.0,202.0,14.0,61.0,548.0,39.0,0.0,0.0,0.0,78.0,223.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,254.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_255_B,3370.0,11.0,4199.0,2641.0,6281.0,951.0,72.0,452.0,326.0,3.0,128.0,0.0,115.0,389.0,46.0,4.0,0.0,0.0,86.0,111.0,2.0,0.0,0.0,70.0,0.0,0.0,0.0,255.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_256_B,2762.0,50.0,1866.0,2744.0,6029.0,825.0,80.0,402.0,318.0,7.0,209.0,19.0,121.0,360.0,27.0,1.0,0.0,0.0,43.0,203.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,256.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_257_B,3590.0,19.0,2331.0,4891.0,4533.0,964.0,47.0,489.0,230.0,20.0,241.0,3.0,57.0,122.0,88.0,0.0,0.0,0.0,65.0,52.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,257.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_258_B,2607.0,29.0,2195.0,4668.0,4439.0,974.0,31.0,49.0,308.0,8.0,0.0,62.0,93.0,311.0,67.0,0.0,0.0,0.0,72.0,76.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,258.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_259_B,3550.0,83.0,2212.0,2805.0,8648.0,898.0,38.0,231.0,258.0,0.0,26.0,18.0,96.0,652.0,24.0,2.0,2.0,0.0,115.0,159.0,1.0,9.0,0.0,186.0,3.0,0.0,0.0,259.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_260_B,3612.0,20.0,1643.0,4422.0,5451.0,1594.0,25.0,151.0,101.0,9.0,11.0,4.0,69.0,609.0,41.0,0.0,0.0,0.0,75.0,62.0,2.0,4.0,0.0,162.0,0.0,0.0,0.0,260.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_261_B,4437.0,56.0,3219.0,2802.0,9281.0,1084.0,73.0,197.0,759.0,0.0,11.0,1.0,176.0,962.0,20.0,0.0,4.0,0.0,126.0,249.0,0.0,4.0,0.0,291.0,0.0,0.0,0.0,261.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_262_B,2435.0,60.0,1605.0,2652.0,7212.0,779.0,58.0,193.0,128.0,0.0,7.0,50.0,81.0,218.0,13.0,0.0,0.0,0.0,112.0,172.0,0.0,5.0,0.0,154.0,0.0,0.0,0.0,262.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_263_B,2794.0,51.0,2745.0,1465.0,8973.0,471.0,94.0,171.0,238.0,0.0,22.0,4.0,69.0,503.0,11.0,2.0,5.0,0.0,115.0,220.0,0.0,5.0,0.0,134.0,0.0,0.0,0.0,263.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_264_B,3115.0,14.0,3893.0,2351.0,7436.0,606.0,53.0,379.0,486.0,0.0,180.0,0.0,68.0,137.0,23.0,0.0,0.0,0.0,6.0,153.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_265_B,2213.0,25.0,4577.0,2966.0,10285.0,665.0,81.0,362.0,36.0,6.0,76.0,9.0,94.0,146.0,32.0,0.0,0.0,0.0,50.0,88.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,265.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_266_B,1086.0,6.0,2062.0,1174.0,7583.0,298.0,53.0,106.0,80.0,0.0,44.0,0.0,31.0,4.0,0.0,0.0,0.0,0.0,10.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_267_B,1762.0,29.0,5112.0,962.0,11613.0,234.0,44.0,231.0,36.0,0.0,44.0,13.0,166.0,39.0,12.0,0.0,0.0,0.0,92.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_268_B,1528.0,22.0,1748.0,1135.0,7440.0,285.0,58.0,362.0,100.0,0.0,107.0,0.0,87.0,102.0,13.0,0.0,0.0,0.0,29.0,116.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,268.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_269_B,3747.0,6.0,3807.0,4525.0,10801.0,1132.0,79.0,526.0,86.0,7.0,209.0,23.0,103.0,280.0,45.0,0.0,0.0,0.0,18.0,143.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,269.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_270_B,3196.0,21.0,3221.0,2480.0,8566.0,788.0,126.0,498.0,77.0,3.0,241.0,5.0,120.0,100.0,25.0,0.0,0.0,0.0,21.0,409.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,270.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_271_B,2559.0,0.0,869.0,2199.0,6432.0,722.0,86.0,348.0,80.0,3.0,170.0,0.0,103.0,324.0,34.0,0.0,0.0,0.0,16.0,198.0,2.0,0.0,0.0,49.0,0.0,0.0,0.0,271.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_272_B,2898.0,19.0,4744.0,1596.0,6593.0,603.0,106.0,501.0,368.0,3.0,261.0,0.0,96.0,184.0,43.0,0.0,0.0,0.0,44.0,197.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,272.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_273_B,3251.0,12.0,2119.0,4634.0,6737.0,1252.0,94.0,435.0,73.0,14.0,318.0,0.0,90.0,321.0,36.0,0.0,0.0,2.0,23.0,151.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,273.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_274_B,2923.0,17.0,6005.0,4914.0,1894.0,1252.0,89.0,798.0,169.0,5.0,50.0,35.0,119.0,435.0,15.0,0.0,1.0,0.0,123.0,433.0,0.0,14.0,0.0,50.0,104.0,0.0,0.0,274.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_275_B,3423.0,8.0,10293.0,6080.0,1623.0,1294.0,107.0,736.0,247.0,10.0,0.0,69.0,189.0,558.0,21.0,0.0,0.0,0.0,244.0,617.0,1.0,10.0,0.0,31.0,55.0,0.0,0.0,275.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_276_B,4562.0,5.0,7598.0,9086.0,423.0,2122.0,68.0,106.0,137.0,17.0,0.0,62.0,266.0,88.0,53.0,1.0,0.0,0.0,0.0,13.0,0.0,4.0,0.0,2.0,229.0,0.0,0.0,276.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_277_B,4570.0,23.0,5901.0,4690.0,3336.0,2123.0,161.0,1438.0,332.0,7.0,308.0,5.0,119.0,127.0,66.0,4.0,1.0,0.0,116.0,310.0,0.0,18.0,0.0,210.0,183.0,0.0,0.0,277.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_278_B,3887.0,97.0,10793.0,5901.0,1564.0,1275.0,69.0,390.0,406.0,6.0,13.0,16.0,161.0,118.0,235.0,1.0,9.0,0.0,70.0,120.0,1.0,5.0,0.0,226.0,40.0,0.0,0.0,278.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_279_B,1957.0,15.0,1081.0,1460.0,4327.0,783.0,44.0,737.0,76.0,5.0,242.0,16.0,118.0,625.0,17.0,1.0,0.0,0.0,58.0,74.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,279.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_280_B,2660.0,3.0,3004.0,3847.0,6603.0,973.0,126.0,555.0,28.0,4.0,223.0,6.0,109.0,347.0,19.0,0.0,0.0,0.0,65.0,73.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,280.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_281_B,5048.0,18.0,1098.0,4543.0,8140.0,1446.0,97.0,984.0,59.0,0.0,322.0,13.0,108.0,916.0,52.0,0.0,0.0,0.0,95.0,129.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_282_B,3107.0,0.0,2920.0,1726.0,8838.0,318.0,100.0,207.0,15.0,6.0,73.0,0.0,115.0,681.0,40.0,1.0,0.0,0.0,49.0,122.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,282.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_283_B,2876.0,49.0,2428.0,4725.0,6848.0,1257.0,86.0,1049.0,96.0,9.0,692.0,43.0,144.0,276.0,31.0,0.0,0.0,0.0,42.0,58.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,283.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_284_B,2257.0,28.0,1957.0,7446.0,7573.0,1406.0,176.0,52.0,167.0,7.0,0.0,28.0,112.0,187.0,15.0,1.0,0.0,0.0,47.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,284.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_285_B,3099.0,80.0,609.0,7001.0,6280.0,1736.0,211.0,31.0,171.0,19.0,0.0,37.0,149.0,780.0,44.0,0.0,1.0,0.0,58.0,17.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,285.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_286_B,3570.0,43.0,3173.0,5022.0,5844.0,1147.0,173.0,29.0,61.0,16.0,9.0,4.0,232.0,432.0,30.0,0.0,1.0,0.0,38.0,21.0,0.0,0.0,0.0,58.0,15.0,10.0,0.0,286.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_287_B,5299.0,113.0,6865.0,8199.0,10419.0,2280.0,312.0,58.0,385.0,16.0,13.0,105.0,163.0,371.0,68.0,0.0,0.0,0.0,36.0,45.0,2.0,4.0,0.0,63.0,5.0,0.0,0.0,287.0,WT,M,Sham,Vehicle,Baseline,PAN
