	W	Reject null hypothesis
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group	2	False
Bacteria;;;;;	2	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas	2	False
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;;	2	False
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	2	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus	2	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Harryflintia	2	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ventriosum group	2	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium	2	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;A2	2	False
Bacteria;Firmicutes;Bacilli;RF39;;	2	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group	2	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575	2	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae FCS020 group	2	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;	2	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group	2	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;	2	False
Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Anaeroplasma	2	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;	1	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;HT002	1	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	1	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	1	False
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1	1	False
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	1	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	1	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia	1	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus	1	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001	1	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium	1	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum	0	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia	0	False
